title,vendor,ingredient_slug,platform,price_eur,dose_mg,servings,notes
MoleQlar NMN Uthever 500 mg Kapseln,MoleQlar,nad-precursors,amazon-de,89.9,500,60,"Uthever NMN, ISO 22000 Laborprüfung"
MoleQlar NMN Sublingual Tabs 250 mg,MoleQlar,nad-precursors,amazon-de,64.9,250,120,"Schnelllösliche Sublingualtabletten, deutsche Charge"
Do Not Age NR Cell Restoration 300 mg,Do Not Age,nad-precursors,shop-apotheke,74.5,300,60,"Niagen Lizenzrohstoff, third-party getestet"
Renue by Science LIPO NAD+ Complete,Renue by Science,nad-precursors,iherb,109.0,400,60,"Liposomale NR+NMN Mischung, HPLC geprüft"
Life Extension NAD+ Cell Regenerator,Life Extension,nad-precursors,amazon-de,46.5,300,30,"Niagen NR, USP geprüfte Charge"
Life Extension NAD+ Cell Regenerator Mega Pack,Life Extension,nad-precursors,iherb,82.0,300,60,"Doppelpack mit Niagen NR, cGMP"
Thorne NiaCel 400,Thorne,nad-precursors,amazon-de,92.0,400,60,"NR mit Resveratrol, NSF Certified for Sport"
Thorne ResveraCel,Thorne,nad-precursors,iherb,118.0,415,60,"NR + Quercetin + Betaine, NSF geprüft"
Pure Encapsulations NAD+ Cell Support,Pure Encapsulations,nad-precursors,amazon-de,84.9,300,60,"Niagen NR, hypoallergen, cGMP"
Pure Encapsulations TMG Pulver,Pure Encapsulations,nad-precursors,amazon-de,39.9,2000,60,"Trimethylglycin Pulver, laborgeprüft"
Jarrow Formulas Niagen 300 mg,Jarrow Formulas,nad-precursors,iherb,57.9,300,60,"Niagen Lizenz, dritte Partei getestet"
Jarrow Formulas TMG Crystals,Jarrow Formulas,nad-precursors,amazon-de,27.5,2000,50,"Pulverform, veganes Trimethylglycin"
NOW Foods Niacinamide 500 mg,NOW Foods,nad-precursors,amazon-de,21.9,500,100,"Flush-free Niacinamid, UL geprüfte Anlage"
NOW Foods TMG 1000 mg,NOW Foods,nad-precursors,amazon-de,29.5,1000,100,"GMP zertifiziert, vegan"
Double Wood NMN 500 mg,Double Wood,nad-precursors,amazon-de,69.9,500,60,"Uthever NMN, COA verfügbar"
Double Wood NR 300 mg,Double Wood,nad-precursors,amazon-de,54.9,300,60,"Niagen NR, zweifach getestet"
Nootropics Depot NMN 250 mg,Nootropics Depot,nad-precursors,amazon-de,64.0,250,120,"HPLC-verifiziert, vegane Kapseln"
Nootropics Depot NR 300 mg,Nootropics Depot,nad-precursors,amazon-de,72.0,300,90,"Niagen Rohstoff, Chargenzertifikat beigelegt"
Youth & Earth Sublingual NMN 250 mg,Youth & Earth,nad-precursors,amazon-de,59.5,250,120,"Sublingualtabletten, Informed-Sport"
Youth & Earth Liposomal NMN 500 mg,Youth & Earth,nad-precursors,amazon-de,84.0,500,60,Liposomale Formel mit Sonnenblumenlecithin
Braineffect NAD+ Boost,Braineffect,nad-precursors,amazon-de,49.9,300,60,"NR + TMG + B-Vitamine, in Deutschland hergestellt"
Sunday Natural NMN 400 mg,Sunday Natural,nad-precursors,amazon-de,76.0,400,60,"Fermentativ gewonnen, laborgeprüft"
Sunday Natural TMG Komplex,Sunday Natural,nad-precursors,amazon-de,32.0,1500,60,"Betain aus Zuckerrübe, Bio-Zertifizierung"
Sentias NMN + Trans-Resveratrol,Sentias,nad-precursors,amazon-de,69.0,500,60,Uthever NMN plus Trans-Resveratrol
MoleQlar NR Ultra 500 mg,MoleQlar,nad-precursors,amazon-de,94.0,500,60,"Niagen NR, vegane Pullulan-Kapseln"
MoleQlar TMG Plus 2000 mg,MoleQlar,nad-precursors,amazon-de,44.0,2000,60,"Trimethylglycin mit Folat, ISO 9001"
ProHealth Longevity NMN Pro 500,ProHealth Longevity,nad-precursors,iherb,95.0,500,60,"Uthever Rohstoff, 3rd-Party COA"
ProHealth Longevity NMN Lozenges 125 mg,ProHealth Longevity,nad-precursors,iherb,69.0,125,240,Sublingualtabletten mit Minzgeschmack
Genex Formulas NMN 500 mg,Genex Formulas,nad-precursors,amazon-de,82.0,500,60,"Pharmaqualität, HPLC geprüft"
Livella Labs NMN 300 mg,Livella Labs,nad-precursors,amazon-de,58.0,300,90,"Made in Germany, TÜV Labor"
Feel Nature NR 350 mg,Feel Nature,nad-precursors,amazon-de,67.0,350,60,"Niagen NR + PQQ, deutsche Herstellung"
Longeviq NMN Pure Powder,Longeviq,nad-precursors,amazon-de,99.0,1000,120,"Reines Pulver, Messlöffel inklusive"
Elevant Prime NMN 125 mg,Elevant,nad-precursors,shop-apotheke,69.9,125,120,"Bioverfügbares NMN, EFSA-konform"
BodyBio TMG 750 mg,BodyBio,nad-precursors,iherb,42.0,750,100,"Methylspender, Arztformel"
Designs for Health TMG Powder,Designs for Health,nad-precursors,iherb,38.0,2000,60,"Unflavoured Pulver, cGMP"
Life Extension Senolytic Activator,Life Extension,senolytics,amazon-de,64.9,500,30,"Fisetin + Quercetin + Theaflavin, third-party getestet"
Life Extension Fisetin Elite 125 mg,Life Extension,senolytics,iherb,48.9,125,30,"Fisetin mit BioPerine, glutenfrei"
Double Wood Fisetin 500 mg,Double Wood,senolytics,amazon-de,44.9,500,60,"USA produziert, COA verfügbar"
Double Wood Quercetin Dihydrate,Double Wood,senolytics,amazon-de,38.5,500,120,"High-Purity Quercetin, lab tested"
NOW Foods Fisetin 100 mg,NOW Foods,senolytics,iherb,29.9,100,90,"Vegan, Non-GMO"
NOW Foods Quercetin with Bromelain,NOW Foods,senolytics,amazon-de,34.0,800,60,Mit Vitamin C und Bromelain
Thorne Quercenase,Thorne,senolytics,amazon-de,52.0,250,60,"Quercetin + Bromelain, NSF Certified"
Thorne Fisetin Complex,Thorne,senolytics,amazon-de,74.0,150,60,Fisetin + Piperin + Curcumin
Pure Encapsulations Quercetin 250 mg,Pure Encapsulations,senolytics,amazon-de,39.0,250,120,"Hypoallergen, cGMP"
Pure Encapsulations Fisetin Ultra,Pure Encapsulations,senolytics,amazon-de,62.0,200,60,"Phytosome Technologie, vegan"
Jarrow Formulas Quercetin 500 mg,Jarrow Formulas,senolytics,iherb,31.9,500,100,"Vegetarische Kapseln, QC getestet"
Jarrow Formulas Apigenin 50 mg,Jarrow Formulas,senolytics,amazon-de,29.0,50,90,Apigenin aus Kamillenextrakt
Swanson Fisetin 100 mg,Swanson,senolytics,amazon-de,23.9,100,60,"GMP, lab verified"
Swanson Quercetin & Bromelain,Swanson,senolytics,amazon-de,27.5,500,120,"Vegetarian, Lab Verified"
Nuzena Fisetin Pure+,Nuzena,senolytics,amazon-de,58.0,500,60,"Third-party tested, vegan"
RevGenetics Fisetin R,RevGenetics,senolytics,amazon-de,69.0,250,90,"Patented Fisetin, COA"
Toniiq Ultra High Purity Fisetin,Toniiq,senolytics,amazon-de,44.0,300,90,"98% Reinheit, ISO 9001 QA"
Toniiq Ultra Quercetin,Toniiq,senolytics,amazon-de,32.0,600,120,"95% Reinheit, HPLC geprüft"
Sentias Senolytic Stack,Sentias,senolytics,amazon-de,59.0,400,60,"Fisetin + Quercetin + Piperin, vegan"
MoleQlar Fisetin 250 mg,MoleQlar,senolytics,amazon-de,52.0,250,60,"Hochreines Fisetin, TÜV geprüft"
MoleQlar Apigenin 50 mg,MoleQlar,senolytics,amazon-de,46.0,50,90,Laborgeprüftes Schlafsupport
Longvida Fisetin Complex,Longvida,senolytics,amazon-de,68.0,150,60,Longvida Liposomal Technologie
Braineffect Senoclear,Braineffect,senolytics,amazon-de,54.0,300,60,"Fisetin + Curcumin, Clean Label"
Nutravance Quercetin Plus,Nutravance,senolytics,amazon-de,36.0,500,90,"Mit Vitamin D3, vegan"
Fairvital Fisetin 250 mg,Fairvital,senolytics,amazon-de,42.5,250,60,"Made in Germany, laborgeprüft"
Sunday Natural Apigenin Komplex,Sunday Natural,senolytics,amazon-de,38.5,50,60,"Apigenin + Myricetin, Bio-Extrakte"
Vit4ever Fisetin 500 mg,Vit4ever,senolytics,amazon-de,39.9,500,90,"Hochdosiert, Hergestellt in Deutschland"
Natural Elements Quercetin Forte,Natural Elements,senolytics,amazon-de,34.9,400,90,"Mit Acerola Vitamin C, chargengeprüft"
Nutri & Co Senolyse,Nutri & Co,senolytics,amazon-de,58.9,420,60,"Fisetin + Quercetin + EGCG, ISO zertifiziert"
Biohealth Senolytic Complete,Biohealth,senolytics,shop-apotheke,69.9,450,60,"Klinisch inspirierte Mischung, vegan"
Thorne CoQ10 100 mg,Thorne,antioxidants,amazon-de,44.0,100,60,"Gelcaps mit MCT, NSF Sport"
Thorne Glutathione-SR 100 mg,Thorne,antioxidants,amazon-de,56.0,100,60,"Sustained Release Form, NSF"
Thorne Alpha-Lipoic Acid 300 mg,Thorne,antioxidants,amazon-de,38.0,300,60,"NSF Sport, vegan"
Life Extension Super Ubiquinol CoQ10 100 mg,Life Extension,antioxidants,amazon-de,60.0,100,30,"Kaneka Ubiquinol, lipidbasierte Kapseln"
Life Extension Glutathione Elevated Setria,Life Extension,antioxidants,iherb,52.0,500,30,"Setria Glutathion, cGMP"
Life Extension Alpha-Lipoic Acid 250 mg,Life Extension,antioxidants,amazon-de,36.0,250,60,"R-ALA, third-party tested"
NOW Foods CoQ10 200 mg,NOW Foods,antioxidants,amazon-de,48.0,200,60,"Kaneka Q10, vegetarisch"
NOW Foods NAC 600 mg Effervescent,NOW Foods,antioxidants,amazon-de,32.0,600,90,"Brausetabletten, GMP Anlage"
NOW Foods Alpha Lipoic Acid 300 mg,NOW Foods,antioxidants,amazon-de,31.0,300,120,"Kosher, Non-GMO"
NOW Foods Astaxanthin 10 mg,NOW Foods,antioxidants,amazon-de,28.0,10,60,Haematococcus pluvialis aus Schweden
Jarrow Formulas Glutathione Reduced 500 mg,Jarrow Formulas,antioxidants,amazon-de,44.0,500,60,"Setria Glutathion, vegane Kapseln"
Jarrow Formulas Alpha Lipoic Sustain 300 mg,Jarrow Formulas,antioxidants,amazon-de,35.0,300,60,Sustained-release mit Biotin
Doctor's Best High Absorption CoQ10 200 mg,Doctors Best,antioxidants,amazon-de,42.0,200,60,Kaneka Q10 + BioPerine
Doctor's Best NAC Detox Regulators,Doctors Best,antioxidants,amazon-de,36.9,600,60,Setria + Selen + Molybdän
Doctor's Best R-Lipoic Acid 100 mg,Doctors Best,antioxidants,amazon-de,39.5,100,60,BioEnhanced Na-RALA
Pure Encapsulations Glutathion 250 mg,Pure Encapsulations,antioxidants,amazon-de,52.9,250,60,"Setria, hypoallergen"
Pure Encapsulations CoQ10 120 mg,Pure Encapsulations,antioxidants,amazon-de,58.0,120,60,"Kaneka Q10, MCT Basis"
Pure Encapsulations Alpha Lipoic Acid 200 mg,Pure Encapsulations,antioxidants,amazon-de,42.0,200,60,"Vegan, cGMP"
Braineffect Glutathion+,Braineffect,antioxidants,amazon-de,49.9,300,30,"Liposomal, Kaltverfahren"
Braineffect CoQ10 Performance,Braineffect,antioxidants,amazon-de,45.0,150,60,"Kaneka + Piperin, vegan"
Sentias NAC Pure,Sentias,antioxidants,amazon-de,33.0,600,120,"Pharmaqualität, Deutschland"
Vit4ever NAC 1000 mg,Vit4ever,antioxidants,amazon-de,29.9,1000,90,"Labor geprüft, vegan"
Vit4ever Astaxanthin 12 mg,Vit4ever,antioxidants,amazon-de,34.9,12,120,Ölmatrix mit Olivenöl
